id,name,price,description
232,Buick,1401.4,Advanced clear-thinking interface
233,Bentley,3006.28,Profound real-time software
234,Mercury,9865.1,Enhanced coherent framework
235,Lexus,5368.53,Programmable national matrices
236,Lexus,339.47,Streamlined attitude-oriented Graphic Interface
237,Ford,2681.85,Self-enabling transitional budgetary management
238,Jaguar,6472.74,Customer-focused optimal database
239,Nissan,2310.95,Open-source exuding attitude
240,Suzuki,7179.73,Reverse-engineered reciprocal forecast
241,Mercedes-Benz,4787.59,Upgradable optimizing attitude
242,Chevrolet,69.33,Fundamental analyzing capability
243,Mitsubishi,4841.11,Integrated global contingency
244,Ford,3698.91,Assimilated motivating synergy
245,GMC,3617.25,Quality-focused intermediate access
246,Audi,6643.23,Face to face multimedia model
247,Chrysler,5592.82,Cloned systematic data-warehouse
248,Mercedes-Benz,9301.1,Configurable cohesive forecast
249,Plymouth,7382.81,Virtual encompassing toolset
250,Toyota,8474.46,Triple-buffered analyzing open architecture
251,Pontiac,4469.73,Progressive non-volatile knowledge base
252,Mazda,3865.43,Phased discrete service-desk
253,Volkswagen,3764.16,Team-oriented multi-state open system
254,Mercedes-Benz,2578.29,Fully-configurable value-added throughput
255,GMC,7710.94,Expanded 24/7 standardization
256,Alfa Romeo,4247.36,Robust 5th generation task-force
257,Volkswagen,3947.35,Open-source full-range attitude
258,Mazda,3770.48,Exclusive national hardware
259,Dodge,2026.5,Cloned responsive intranet
260,Suzuki,598.64,Open-source secondary policy
261,Chevrolet,8131.27,Multi-layered full-range attitude
262,Mercedes-Benz,77.85,Inverse explicit firmware
263,Tesla,2263.85,Public-key explicit focus group
264,Saab,7559.79,Customer-focused empowering data-warehouse
265,Saab,6377.24,Stand-alone clear-thinking pricing structure
266,Acura,184.75,Synergized full-range collaboration
267,Ford,5637.47,Focused fault-tolerant service-desk
268,Buick,9836.33,Synergized multi-tasking open architecture
269,Suzuki,2341.0,Customizable executive concept
270,Oldsmobile,4006.07,Customer-focused homogeneous capability
271,Hyundai,298.58,Profit-focused stable info-mediaries
272,Ford,242.64,Multi-channelled executive concept
273,Suzuki,77.6,Total maximized info-mediaries
274,Dodge,3921.23,Fully-configurable bottom-line definition
275,Nissan,4572.5,Adaptive intermediate synergy
276,Chevrolet,2977.97,Optional static knowledge base
277,Pontiac,800.56,Seamless human-resource function
278,BMW,8924.54,Realigned system-worthy firmware
279,Buick,8621.26,Decentralized well-modulated conglomeration
280,GMC,2011.16,De-engineered modular capacity
281,Lotus,7954.04,Sharable next generation initiative
282,Porsche,636.5,Operative value-added solution
283,Nissan,4881.58,Persevering multi-state standardization
284,Acura,9028.69,Automated contextually-based throughput
285,Mitsubishi,4607.26,Grass-roots holistic budgetary management
286,Subaru,1831.55,Automated well-modulated neural-net
287,Nissan,5242.4,Intuitive exuding protocol
288,Lamborghini,2108.23,Mandatory interactive system engine
289,Ford,4014.04,Managed optimizing customer loyalty
290,Chevrolet,1727.93,Virtual optimizing orchestration
291,GMC,6105.81,Phased coherent product
292,BMW,9249.01,Self-enabling full-range migration
293,Buick,3496.65,Universal zero defect analyzer
294,Chevrolet,8313.09,Secured client-server focus group
295,BMW,9077.22,Optional explicit array
296,Volkswagen,2462.52,Fundamental incremental methodology
297,Jeep,9202.74,Profound full-range capacity
298,Chevrolet,5076.35,Multi-layered radical process improvement
299,Mercedes-Benz,5053.46,Optional context-sensitive local area network
300,Land Rover,4955.16,Customizable cohesive implementation
301,Mercedes-Benz,1749.7,Exclusive transitional moratorium
302,Isuzu,3322.67,Optional foreground synergy
303,Honda,9539.74,Operative multi-tasking leverage
304,Hyundai,202.39,Quality-focused heuristic architecture
305,Suzuki,4377.78,Networked bandwidth-monitored adapter
306,Acura,5888.22,Optional value-added matrix
307,Toyota,2893.39,Visionary tertiary framework
308,Mitsubishi,6275.63,Ameliorated systemic infrastructure
309,Isuzu,4663.41,Expanded high-level internet solution
310,GMC,4133.65,Cloned methodical local area network
311,Mitsubishi,1506.48,Team-oriented needs-based throughput
312,Buick,7413.08,Centralized multi-tasking workforce
313,Mitsubishi,3353.61,Organic upward-trending focus group
314,Mazda,7772.74,Robust bottom-line time-frame
315,Ford,6446.62,Intuitive bifurcated array
316,Chevrolet,1526.45,Robust bifurcated support
317,Mitsubishi,7432.53,Function-based content-based migration
318,Chevrolet,1007.0,Automated interactive budgetary management
319,Ford,1979.18,Reactive 24 hour paradigm
320,Honda,483.45,Up-sized executive Graphical User Interface
321,Dodge,8597.85,Quality-focused well-modulated contingency
322,Chevrolet,524.75,Multi-channelled regional approach
323,Chevrolet,8876.36,Fundamental analyzing open system
324,Toyota,8016.38,Visionary multi-tasking approach
325,Audi,7593.27,Face to face leading edge data-warehouse
326,Lexus,6694.83,Inverse 3rd generation capability
327,Toyota,3784.51,User-centric value-added strategy
328,Suzuki,5024.23,Function-based hybrid function
329,Audi,7289.27,Reactive leading edge matrices
330,Volkswagen,7882.18,Advanced systematic strategy
331,GMC,3213.98,Exclusive background monitoring
332,Ford,8272.45,Stand-alone fresh-thinking conglomeration
333,Pontiac,2135.8,Extended empowering task-force
334,Nissan,4384.14,Face to face dynamic pricing structure
335,Jeep,4325.7,Multi-lateral cohesive database
336,Toyota,7399.81,Face to face content-based forecast
337,Toyota,2905.0,Operative dynamic portal
338,Chevrolet,1303.33,Streamlined disintermediate database
339,Acura,592.96,Diverse foreground open system
340,Nissan,3140.31,Re-engineered zero defect solution
341,Dodge,5840.83,Vision-oriented next generation structure
342,Dodge,3294.8,Configurable dynamic data-warehouse
343,Lincoln,1239.07,Customizable global installation
344,Acura,8484.3,Up-sized encompassing contingency
345,Mercury,2886.13,Switchable multi-state policy
346,Nissan,7909.49,Front-line reciprocal forecast
347,Dodge,4294.82,Business-focused zero administration capability
348,Mazda,7600.12,Phased 24/7 architecture
349,Jeep,195.46,Customizable foreground software
350,Audi,123.46,Proactive holistic intranet
351,Subaru,7910.99,Multi-channelled optimizing utilisation
352,Mitsubishi,333.03,Innovative hybrid ability
353,Tesla,8725.73,Innovative 3rd generation ability
354,Chrysler,3324.35,Function-based client-server help-desk
355,Pontiac,4669.66,Networked modular Graphical User Interface
356,BMW,1093.5,Exclusive systematic utilisation
357,Pontiac,5027.31,Distributed discrete core
358,Volkswagen,5685.15,Configurable intangible workforce
359,Chevrolet,7807.08,Ergonomic 5th generation migration
360,Buick,2547.57,Balanced local data-warehouse
361,Toyota,2214.15,Total dynamic capacity
362,Audi,8620.3,Virtual holistic model
363,Toyota,6906.36,Digitized radical forecast
364,Plymouth,2975.98,Sharable tangible array
365,Mazda,6019.23,Intuitive didactic paradigm
366,Pontiac,7543.78,Balanced needs-based encoding
367,Dodge,3285.25,Face to face user-facing benchmark
368,Ford,2236.43,Realigned national customer loyalty
369,Mitsubishi,4979.93,Cross-platform 24 hour extranet
370,Mitsubishi,9838.45,Pre-emptive attitude-oriented functionalities
371,Aston Martin,3676.76,Team-oriented full-range core
372,Oldsmobile,3546.7,Multi-layered uniform architecture
373,Acura,5973.01,Cross-group demand-driven productivity
374,Chevrolet,5111.54,Monitored static instruction set
375,Scion,3728.95,Pre-emptive holistic matrix
376,Volvo,4412.08,Stand-alone homogeneous productivity
377,Chrysler,3909.0,Vision-oriented radical framework
378,Dodge,4903.64,Stand-alone client-server workforce
379,Acura,4783.29,Innovative dedicated superstructure
380,GMC,3269.63,Down-sized 24/7 system engine
381,Lincoln,5903.92,Optional background product
382,Toyota,3183.95,Exclusive encompassing matrices
383,Ford,195.31,Advanced motivating extranet
384,Honda,1903.49,Organized background support
385,BMW,7319.19,Re-engineered neutral functionalities
386,Cadillac,3712.03,Triple-buffered national data-warehouse
387,GMC,5860.93,Implemented web-enabled product
388,Mazda,1320.57,Profit-focused static projection
389,Mitsubishi,7225.69,Digitized even-keeled protocol
390,Ford,3590.41,Down-sized analyzing artificial intelligence
391,Lexus,9432.42,Streamlined actuating local area network
392,BMW,5519.61,Persevering content-based project
393,Toyota,6855.47,Centralized bifurcated instruction set
394,Nissan,2937.68,De-engineered tertiary parallelism
395,Lincoln,5037.69,Innovative scalable array
396,Chrysler,5679.52,Cross-platform didactic archive
397,Land Rover,4790.05,Networked dynamic architecture
398,Ford,7401.41,Upgradable neutral installation
399,GMC,8240.67,Advanced zero tolerance extranet
400,Hyundai,9955.55,Upgradable real-time orchestration
401,Ford,859.19,Synergized 3rd generation hierarchy
402,Volvo,2492.93,Multi-layered local strategy
403,Honda,3450.26,Monitored fault-tolerant groupware
404,Ford,5284.54,Universal secondary parallelism
405,Mercedes-Benz,3201.16,Cross-group next generation focus group
406,Volvo,3709.43,Streamlined context-sensitive orchestration
407,Cadillac,5277.74,Implemented didactic extranet
408,Volvo,8799.42,Multi-layered client-server adapter
409,Subaru,1179.46,Focused global monitoring
410,Hyundai,2821.23,Synchronised interactive internet solution
411,Infiniti,5182.26,Mandatory homogeneous service-desk
412,Chevrolet,9597.99,Progressive holistic budgetary management
413,Cadillac,7770.41,Profit-focused well-modulated local area network
414,Mitsubishi,3033.33,Cross-group fault-tolerant initiative
415,Isuzu,6473.71,Open-architected 5th generation capability
416,Ford,3631.71,Assimilated needs-based task-force
417,GMC,9699.24,Innovative reciprocal analyzer
418,Pontiac,6237.06,Fundamental static Graphic Interface
419,Ford,1442.88,Devolved tertiary synergy
420,Buick,848.05,Cloned systemic portal
421,GMC,3327.17,Vision-oriented system-worthy array
422,Smart,1402.94,Configurable client-server approach
423,Ford,2365.18,De-engineered impactful throughput
424,Suzuki,8597.05,Proactive responsive capability
425,Citroën,7529.1,Organized zero tolerance internet solution
426,Toyota,5426.57,Implemented discrete array
427,GMC,9044.06,Decentralized holistic artificial intelligence
428,Mitsubishi,8740.35,Reactive secondary hardware
429,Volkswagen,1351.69,Ameliorated dynamic focus group
430,Toyota,5845.18,Realigned interactive encryption
431,Mitsubishi,796.99,Programmable explicit productivity
432,Volkswagen,7108.59,Front-line upward-trending function
433,Lexus,1240.5,Configurable value-added task-force
434,Volkswagen,4465.32,Fully-configurable multi-state definition
435,Mercedes-Benz,3516.46,Phased 4th generation data-warehouse
436,Mazda,7989.33,Enhanced grid-enabled service-desk
437,Buick,6299.55,Ergonomic regional encoding
438,Maserati,5426.09,Inverse bi-directional orchestration
439,Mercury,235.48,Fundamental methodical projection
440,Dodge,4906.73,Triple-buffered zero tolerance software
441,Mitsubishi,7630.62,Robust bottom-line portal
442,Alfa Romeo,2995.86,Implemented homogeneous middleware
443,Lincoln,3431.86,Pre-emptive neutral parallelism
444,Honda,8454.11,Organic holistic process improvement
445,Mercury,9290.47,Team-oriented modular open system
446,Volkswagen,6645.83,Sharable explicit instruction set
447,Ford,6029.48,De-engineered optimal attitude
448,Volkswagen,1944.38,Robust coherent neural-net
449,Toyota,8408.1,Stand-alone motivating local area network
450,Chrysler,2008.53,Pre-emptive stable Graphic Interface
451,Nissan,549.17,Progressive incremental methodology
452,Chevrolet,7204.45,Distributed transitional knowledge base
453,Buick,904.27,Operative tertiary pricing structure
454,Subaru,9594.33,Digitized systemic model
455,Pontiac,4059.74,Sharable multi-tasking encoding
456,Pontiac,7373.26,Cross-platform dynamic instruction set
457,GMC,3464.19,Synergized asynchronous capacity
458,Cadillac,5948.2,Organic system-worthy success
459,Mitsubishi,7120.28,Adaptive disintermediate service-desk
460,BMW,6776.41,Centralized stable archive
461,Land Rover,4618.03,Intuitive upward-trending neural-net
462,Audi,1431.98,Profit-focused encompassing moderator
463,Geo,8365.61,Robust regional intranet
464,Pontiac,9292.44,Integrated 5th generation utilisation
465,Toyota,3225.33,Synchronised grid-enabled projection
466,Dodge,4347.33,Secured user-facing moratorium
467,Mazda,3394.75,Realigned mission-critical portal
468,Ford,1826.82,Polarised cohesive success
469,Cadillac,7610.08,Upgradable 4th generation open architecture
470,Volkswagen,7064.54,Exclusive directional extranet
471,Nissan,29.29,Progressive incremental standardization
472,Mercedes-Benz,1967.71,Reduced zero tolerance internet solution
473,Ford,4937.66,Cross-platform methodical algorithm
474,Toyota,5837.25,Automated dedicated firmware
475,Nissan,8988.6,Multi-channelled fault-tolerant interface
476,Pontiac,7461.28,Cross-platform neutral installation
477,Cadillac,3668.67,Synergized systematic monitoring
478,Volkswagen,8948.59,Enhanced neutral pricing structure
479,Volvo,2013.84,Monitored even-keeled service-desk
480,Nissan,6167.29,Persistent fault-tolerant internet solution
481,Toyota,3404.75,Ameliorated responsive core
482,Ford,8859.05,Multi-channelled web-enabled encryption
483,Mitsubishi,2328.01,Profit-focused solution-oriented firmware
484,Pontiac,5712.2,Self-enabling high-level moratorium
485,Ford,8559.91,Grass-roots client-server protocol
486,Acura,7398.75,Persevering cohesive framework
487,Audi,6224.13,Re-engineered value-added data-warehouse
488,Volkswagen,178.33,Optimized neutral moderator
489,Dodge,9210.35,Monitored clear-thinking implementation
490,Ford,6662.53,Synergized human-resource leverage
491,Chevrolet,1668.91,Polarised coherent leverage
492,GMC,4681.56,Cross-group motivating orchestration
493,BMW,1550.88,Open-source 5th generation installation
494,Chevrolet,7154.17,Synergistic bi-directional circuit
495,Mercury,9791.61,Optional actuating architecture
496,Mitsubishi,7144.24,User-centric 24 hour capability
497,Ford,1647.08,Enhanced empowering attitude
498,Buick,2991.01,De-engineered needs-based contingency
499,Audi,6941.71,Optimized client-server protocol
500,Honda,7803.01,Organic incremental contingency
501,Lincoln,8211.84,Reactive even-keeled complexity
502,Chevrolet,3510.26,Synergistic modular synergy
503,Saab,5124.99,Total executive focus group
504,Saturn,3753.54,Centralized upward-trending frame
505,Mercury,2960.7,User-friendly disintermediate support
506,Hummer,2447.48,Exclusive cohesive paradigm
507,Chevrolet,1798.68,Synergized mission-critical core
508,GMC,7076.05,Configurable intermediate flexibility
509,Chrysler,7799.19,Reverse-engineered client-driven toolset
510,Panoz,7693.06,Open-source object-oriented artificial intelligence
511,Dodge,2326.21,Phased executive database
512,Pontiac,5383.46,Business-focused systematic service-desk
513,Lotus,7930.25,Progressive bi-directional extranet
514,Ford,7989.09,Horizontal bottom-line capacity
515,Mercedes-Benz,6173.13,Enhanced impactful utilisation
516,Infiniti,1906.01,Quality-focused solution-oriented throughput
517,Infiniti,7212.83,Ergonomic interactive open system
518,Volkswagen,8962.71,Cloned didactic capacity
519,Mitsubishi,2595.1,Fully-configurable zero administration product
520,BMW,1232.01,Down-sized discrete groupware
521,BMW,3142.52,Organized system-worthy alliance
522,Toyota,6634.15,User-centric full-range product
523,Scion,3427.19,Monitored stable info-mediaries
524,Honda,4746.25,Progressive client-server parallelism
525,Nissan,2676.09,Multi-lateral dynamic functionalities
526,Mercedes-Benz,549.7,Reverse-engineered homogeneous middleware
527,Porsche,7309.4,Phased even-keeled support
528,BMW,1910.6,Front-line dynamic task-force
529,Volkswagen,7989.94,Networked static architecture
530,Lexus,3147.17,Mandatory grid-enabled emulation
531,Mercury,3323.44,Enhanced full-range process improvement
532,Infiniti,8275.26,Down-sized holistic matrices
533,GMC,2228.65,Multi-channelled local challenge
534,Ford,6100.78,Down-sized homogeneous knowledge user
535,Chevrolet,8102.69,Universal optimizing neural-net
536,Jaguar,5183.12,Sharable foreground synergy
537,Dodge,5987.57,Profit-focused dedicated service-desk
538,Isuzu,6168.28,Persistent grid-enabled structure
539,Toyota,7933.22,Monitored directional circuit
540,Ford,9308.66,Managed impactful open system
541,Mitsubishi,9067.53,Face to face cohesive middleware
542,Isuzu,4482.85,Vision-oriented explicit website
543,Mercedes-Benz,8004.64,Progressive intermediate project
544,Cadillac,8348.66,Automated actuating pricing structure
545,Dodge,8504.98,Face to face optimizing productivity
546,Pontiac,4503.18,Stand-alone 3rd generation workforce
547,MINI,6251.46,Realigned holistic infrastructure
548,Porsche,9780.78,Managed real-time groupware
549,Honda,5714.62,Persistent context-sensitive productivity
550,Mercedes-Benz,5989.09,Virtual actuating forecast
551,Oldsmobile,2297.91,Profit-focused maximized synergy
552,Mitsubishi,2149.61,Implemented interactive focus group
553,Lincoln,4034.74,Object-based object-oriented circuit
554,Mitsubishi,5376.12,Customer-focused asynchronous hardware
555,Dodge,6930.19,Monitored upward-trending leverage
556,Cadillac,6033.86,Pre-emptive uniform moratorium
557,Chevrolet,4639.97,Business-focused hybrid standardization
558,GMC,8104.87,Devolved local capability
559,Mazda,5020.63,Profound reciprocal conglomeration
560,Lincoln,7788.36,Synchronised human-resource project
